5085,12341,6045,12921,7879,15529,12967,9827,1929,15619,9337,14690,5453,10633,6841,
727,5178,12390,19060,13746,906,598,1183,10392,9631,15395,17943,1093,11666,4474,
391,11336,8180,6031,11313,510,627,8324,1105,15513,18558,15801,14600,11376,3850,
6550,9612,1876,455,13998,4768,17169,14251,14311,1471,14126,5396,18244,6927,9613,
6969,7788,3376,3177,19936,8425,1356,1154,17991,3469,8843,5466,2881,1660,3702,
1609,14738,9094,9546,6983,3485,8812,8850,8231,13160,2226,1726,15741,19000,5905,
11631,6791,2499,15891,15934,3110,13811,15031,543,6515,19847,17861,12855,17019,7711,
14534,12395,7506,8374,14371,15220,9472,14844,4408,10241,9383,2358,489,17853,12566,
1285,8474,19559,5192,1325,5466,15721,12853,14507,17663,8649,5857,17107,8608,212,
7505,2786,11986,18038,8593,5035,18307,4253,2087,10722,14673,2247,3480,15865,16840,
1450,14741,16837,2006,15799,16914,1955,4247,7138,3362,7567,8981,13754,8998,17760,
12611,8994,2559,3779,4843,10076,6215,7821,10868,807,5099,13975,17840,17950,12989,
13768,10028,14493,10409,16730,15496,11848,17459,8189,6461,7305,16937,11735,12625,1609,
536,705,1701,13534,14416,13037,6194,8721,16058,18660,10317,10726,10556,6553,7556,
15095,7854,17217,455,9723,16409,15883,2208,18641,48,14626,661,5246,19154,5084,
19585,13141,5587,7814,7460,17507,12211,4624,14633,2952,10998,1760,-9,6829,9063,
18275,9708,7350,12896,19166,11944,4503,19091,4193,17673,4406,18423,1293,12695,3300,
17826,1448,7993,1677,16241,7385,8023,19003,7947,2377,4731,14109,17521,8637,18645,
10384,6540,3690,16396,3486,2656,11856,2440,14554,8139,7774,4825,16975,-27,1743,
-59,15613,3397,1772,5954,8662,13246,4391,1021,7084,14733,3689,11332,8069,5646,
13103,19271,7042,11778,10501,4216,19881,8611,55,5624,8346,4968,7508,10353,14011,
9241,8266,783,14259,2290,1385,19564,2567,8878,2692,2396,14474,3394,17423,16265,
8700,2669,13220,9193,9237,11319,16825,3431,4615,3258,8409,1937,14514,18738,7023,
8862,10180,17974,16455,15124,8291,11878,18712,3595,15551,18016,17098,18728,16460,4125,
19081,3463,16666,17009,18553,17260,19601,14768,16004,18660,8927,5537,4173,10816,9483,
2920,7590,7596,7038,14354,11427,18012,2487,4734,7306,19216,5643,6239,-125,5958,
9389,19353,17052,19603,16845,10632,18383,14835,2704,5947,936,6325,12892,18783,10009,
15444,17889,13208,14789,13220,5385,18186,7477,11668,957,4013,11274,8421,19203,4335,
233,9509,528,19530,9527,3230,4704,15515,4370,2928,1381,16010,3571,14996,18054,
18378,15501,17144,17267,5434,308,19069,5131,1536,14372,8296,9677,15823,10173,6210,
9228,2256,9636,9783,16107,4742,18354,1288,14791,17923,15014,14856,2647,18093,840,
5552,13283,7609,114,17772,16827,19598,7674,14009,11109,16109,9881,1315,1773,9836,
16537,14330,10402,4643,19566,17280,4028,4847,8436,5915,4128,14554,8537,18985,16283,
2530,17441,14431,17566,14690,17262,8640,15289,16824,1458,13174,6980,18505,4845,2939,
-179,6069,18472,13724,17905,17519,17995,13130,6358,3127,6906,15368,10236,19301,18730,
8162,9092,19545,18967,8126,14077,7805,17190,6378,2866,3073,7963,3743,18658,9211,
9879,1172,2005,16273,123,12192,9871,16165,11565,15694,16240,12114,6570,6432,13037,
18902,6504,19222,11193,18337,19287,6189,13087,6098,10402,12736,12827,5821,19064,2426,
6536,152,19762,522,4403,8788,14113,18103,11857,17922,18926,503,16288,20,2219,
3280,13321,10850,14613,18270,5632,9919,924,16923,720,5273,15820,5742,15520,10513,
2871,12085,19068,16654,6554,13377,19695,737,6212,7009,15568,17523,11032,9328,11497,
16985,17678,17861,866,9890,2717,15441,8907,9652,11276,5524,4465,12869,5877,14207,
4390,5368,19111,8845,133,17156,19177,17058,15401,12941,6027,6441,6377,10580,12737,
8583,11067,16800,14504,18779,8682,10437,15112,12580,10553,6058,17825,15805,326,6022,
1432,7703,15594,5323,4609,3477,5694,4459,11292,6162,19241,13212,12072,3257,19271,
16627,6113,6861,16940,16633,709,13434,9462,1614,7415,3576,14571,14863,7320,13699,
12869,10367,4608,18451,8313,3280,4827,1420,2609,1300,11731,6553,9928,3421,8809,
12571,8413,16547,487,19326,7468,3095,4899,8714,19747,1598,9497,1426,11847,6061,
3356,19980,8029,2302,9404,6133,10790,2030,14909,13635,3849,3936,13166,13176,6181,
17468,3695,11470,9192,16247,17028,16698,12652,4784,7661,18799,9692,5113,8882,8218,
18285,13356,18749,17426,10527,1455,4495,898,11361,10381,17980,531,10767,6285,4204,
-117,5650,7447,5911,16483,2943,4262,13812,9077,14662,1870,17291,4236,13380,6106,
2828,13526,15287,10420,12265,2908,4628,4645,2119,12599,5647,12867,8251,9361,16892,
10489,19602,2871,-72,4552,9617,2646,8462,6250,18262,354,12031,2767,100,16611,
17429,15775,16801,10974,19675,1978,3326,17270,2656,7353,16753,18796,14050,93,5975,
10306,14212,704,9042,18357,17350,9482,11866,12340,14977,17192,10383,17063,15284,12449,
19244,12299,6635,16754,14420,940,-69,9352,11378,17539,15229,746,11805,11063,17779,
322,16205,10112,15863,15993,5701,4718,3340,14567,9314,8158,1413,13228,13603,18573,
6504,17077,13704,19151,9990,18538,18807,14538,13229,12025,4345,9658,19252,15136,19001,
19724,2080,13344,15218,951,9034,19398,11844,9017,8735,15923,11351,17442,12941,5099,
7788,11534,14362,7257,5261,9240,345,19355,3176,5495,14163,5176,5232,12958,18942,
5434,1754,4569,4794,19926,13390,5274,19706,16477,18954,18093,10325,7001,14055,14614,
5494,11337,8897,7402,6927,19924,1308,607,6568,2813,2832,7743,9122,5062,18256,
4892,4814,14343,7899,12813,13655,7344,13587,13103,9192,8981,12853,11493,8325,7216,
1712,19203,14581,11271,2658,13740,15407,19030,18343,12099,14578,1349,3401,19289,5272,
1474,13246,14957,10734,15445,9032,5430,14714,9665,11612,12724,14055,9187,14443,13281,
19496,1938,17050,7373,12513,18026,-110,6646,9402,2428,7209,19538,11709,16884,9403,
12052,9524,12039,4248,17127,19205,898,16757,8600,7888,948,9829,11101,9746,6728,
17141,1446,18171,9052,5043,7626,2323,11841,9932,7797,7790,9062,10806,6876,8405,
357,13194,5977,7089,16255,7046,16047,10958,13557,3294,2762,10908,5449,10331,12184,
2950,5100,19137,10419,4491,15301,12369,3269,15857,192,9051,10382,19318,1347,16756,
6138,16010,16092,11791,9136,9908,19670,13715,9626,4280,13762,9970,5092,11040,17897,
16226,19082,2851,3302,16774,12853,8295,4090,7423,13650,4734,3810,11191,10935,15668,
11548,9720,4901,15713,12524,13279,795,18154,14902,9751,1121,17389,14704,3637,3541,
257,18669,5162,17138,18829,6537,8538,15240,15506,5884,1387,12691,5503,573,1224,
1431,17592,3799,13629,12727,1479,2747,12632,16774,9169,13994,19499,16877,11403,6092,
14710,206,13646,18006,7815,16403,3110,1788,11339,9637,18097,4002,6197,3224,19787,
12636,11688,6800,14726,-118,8927,6408,4537,3505,10387,15948,11760,15798,12353,18919,
1879,2035,3836,1182,9811,13684,1802,11691,12263,14597,12834,14224,19187,15992,128,
17797,6312,3034,5154,7929,12758,19633,11068,9869,632,11338,18867,11020,12705,13775,
11981,3726,4142,4714,11909,16375,13934,5768,3452,3969,3984,18479,2612,9478,16124,
13490,8685,16230,13397,13857,16451,1406,15783,17968,14929,19089,3103,3957,16444,12764,
19379,17792,23,11197,7977,17135,17633,16604,17347,11955,9183,1599,4328,7781,5292,
8369,6427,3027,12046,16592,15299,269,3083,18096,1118,9594,6815,3674,17893,16216,
19526,10487,12243,9215,19447,241,15209,7753,17992,9830,9522,3493,19982,2043,5213,
15782,15239,5965,18245,942,6502,3619,7789,19714,9111,2987,1530,10878,13259,5170,
17553,15349,15804,1442,6367,6258,11753,7935,2880,14045,4627,13761,9524,14359,4424,
8462,6730,3492,12495,9529,15489,10989,7111,15160,1778,7182,743,15190,16372,7498,
2537,10380,7088,7098,13157,18413,2807,16002,12441,542,11011,8298,19751,8338,16423,
5477,16755,2458,4366,10452,15559,4167,-77,17180,17743,18744,2381,8262,16756,6357,
15173,2788,2700,11515,6661,2545,4280,11903,13154,4824,7677,5883,12338,12552,11855,
16989,35,15992,6564,7245,6763,15475,18079,18645,104,12676,5560,19157,17995,11286,
16531,12981,18400,9496,6343,10016,19821,14668,3204,11457,7743,10321,4767,9817,10139,
12393,4850,4811,9212,819,4668,4294,15445,9374,9920,18827,1195,10774,13056,17739,
1936,17829,17652,779,17095,18907,12791,2253,154,19219,12269,18284,14341,3545,10463,
15462,6963,5796,14170,4259,3506,6769,17322,203,13333,4077,1257,17964,11573,14607,
1661,15196,3725,11389,17044,6432,14728,12025,13566,5643,9499,16657,12474,8139,4667,
8629,5970,9764,9109,3612,13383,19832,10371,696,19430,5107,12522,3891,9007,18111,
4994,7974,11731,17696,3777,16705,17977,13258,3141,17684,9871,3438,6161,18986,6184,
7850,7235,3649,18940,191,16508,13652,8913,13794,17859,4368,16182,18584,8163,11086,
8688,7679,6552,16121,17986,6016,14850,1481,19607,10814,19941,7698,7851,11683,14059,
10929,3676,3800,15559,648,12355,13910,14687,6868,4405,9752,3097,14456,14525,1134,
3831,13829,10454,19207,13955,4742,1824,7053,14276,16360,4752,1959,10511,18237,6091,
10342,16901,313,1210,19118,9314,1066,8885,3649,14628,6709,14530,11805,10768,2359,
5556,12484,2539,16195,4267,10058,6082,11855,972,19626,6620,6836,11925,14087,19046,
14188,2422,7333,10436,414,11554,2656,2946,1442,5838,14133,13958,8916,366,14197,
10474,4273,16402,4535,-125,7911,16506,2570,7044,10039,3744,7605,16194,16314,6894,
12213,10259,19364,14158,11833,8522,18550,13755,16401,16705,10834,1581,16004,-73,11199,
19723,15296,6730,3724,15363,18819,15853,14768,7739,17132,908,1778,1121,11041,8800,
6054,8073,3083,19816,10575,3746,1972,3329,18567,4131,19025,16228,16451,1479,6332,
6920,9016,209,2824,16565,615,14814,16735,11181,17834,5504,17331,12171,12275,9521,
